Depth,Temperature,FCond
41.83,25.8921,596.693
41.88,25.857,597.806
41.93,25.8921,596.693
41.98,25.8821,597.547
42.03,25.8821,596.507
42.08,25.9005,596.914
42.13,25.8921,598.178
42.18,25.9096,596.769
42.23,25.8921,597.715
42.28,25.9005,596.769
42.33,25.9272,596.682
42.38,25.9096,597.364
42.43,25.9272,596.289
42.48,25.9096,597.624
42.53,25.9272,596.419
42.58,25.9188,597.364
42.63,25.9272,596.994
42.68,25.9372,597.884
42.73,25.9272,596.627
42.78,25.9556,596.457
42.83,25.9272,597.619
42.88,25.9623,596.457
42.93,25.9447,596.922
42.98,25.9623,596.107
43.03,25.9556,597.312
43.08,25.9447,596.531
43.13,25.9623,596.625
43.18,25.9684,597.572
43.23,25.9623,597.156
43.28,25.9556,596.404
43.33,25.9974,597.074
43.38,25.974,597.39
43.43,25.9974,596.979
43.48,25.974,597.52
43.53,25.9974,596.572
43.58,26.0107,596.093
43.63,25.9798,597.334
43.68,26.0149,596.572
43.73,25.9923,597.3
43.78,26.0019,596.612
43.83,25.9798,596.982
43.88,26.0149,596.443
43.93,25.9798,597.3
43.98,26.0149,596.702
44.03,25.9923,597.56
44.08,25.9974,597.292
44.13,26.0291,596.611
44.18,25.9974,598.057
44.23,26.0149,596.871
44.28,26.0107,597.82
44.33,26.0149,597.198
44.38,26.0324,597.04
44.43,26.0324,597.991
44.48,26.0324,596.819
44.53,26.05,597.73
44.58,26.05,596.599
44.63,26.0523,597.77
44.68,26.0475,597.469
44.73,26.0523,597.144
44.78,26.0475,597.719
44.83,26.05,597.008
44.88,26.0659,597.249
44.93,26.0475,599.101
44.98,26.0675,597.69
45.03,26.0842,597.159
45.08,26.0675,598.732
45.13,26.0851,597.68
45.18,26.1026,598.373
45.23,26.1026,596.849
45.28,26.1026,598.545
45.33,26.1202,597.109
45.38,26.1202,598.324
45.43,26.1377,597.15
45.48,26.1202,597.843
45.53,26.121,596.629
45.58,26.1394,597.176
45.63,26.1202,598.725
45.68,26.1377,597.15
45.73,26.1394,598.365
45.78,26.1202,597.219
45.83,26.1529,596.759
45.88,26.1552,597.577
45.93,26.1377,597.753
45.98,26.1728,596.799
46.03,26.1377,597.664
46.08,26.1552,596.799
46.13,26.1377,597.884
46.18,26.1552,596.93
46.23,26.1394,597.884
46.28,26.1577,597.082
46.33,26.1552,596.852
46.38,26.1394,597.622
46.43,26.1377,596.946
46.48,26.1552,596.669
46.53,26.1377,597.753
46.58,26.1577,596.799
46.63,26.1362,598.22
46.68,26.1377,596.541
46.73,26.121,597.973
46.78,26.1552,597.449
46.83,26.1194,597.753
46.88,26.1394,596.627
46.93,26.1202,598.45
46.98,26.1394,597.15
47.03,26.1394,597.082
47.08,26.1377,598.45
47.13,26.1377,596.93
47.18,26.1202,598.104
47.23,26.1377,597.019
47.28,26.1377,598.235
47.33,26.1377,597.06
47.38,26.1377,598.104
47.43,26.1377,597.19
47.48,26.1377,598.235
47.53,26.1552,597.06
47.58,26.1202,598.014
47.63,26.1552,597.41
47.68,26.1394,597.884
